,BJD,flux,flux_err,Filt
126,2457630.170999865,0.9778883977870985,8.441681675467687e-05,WFC3_G141
127,2457630.173326345,0.977670416400669,8.557392151244009e-05,WFC3_G141
128,2457630.1756528253,0.9781464615977259,8.529247860307352e-05,WFC3_G141
129,2457630.17797912,0.9784873694757892,8.574735591063596e-05,WFC3_G141
130,2457630.18030542,0.9785365960379802,8.38813690211727e-05,WFC3_G141
131,2457630.1826319,0.978787213528316,8.450619982341631e-05,WFC3_G141
132,2457630.1849583797,0.978930478653613,8.339588911462498e-05,WFC3_G141
133,2457630.1872846754,0.9791801006905215,8.50723671448658e-05,WFC3_G141
134,2457630.189610975,0.9797921488282654,8.447264909823782e-05,WFC3_G141
135,2457630.227944305,0.9996368619090151,8.616960898290841e-05,WFC3_G141
136,2457630.23027079,0.9999582494310865,8.39669937172722e-05,WFC3_G141
137,2457630.23259727,1.0001540975298084,8.429905296499497e-05,WFC3_G141
138,2457630.234923565,1.0002610391389433,8.668947332272313e-05,WFC3_G141
139,2457630.237249865,0.999948167029002,8.411227925791087e-05,WFC3_G141
140,2457630.2395763453,1.000050134270787,8.41250074983094e-05,WFC3_G141
141,2457630.2419028254,0.999823409546146,8.533102988435266e-05,WFC3_G141
142,2457630.24422912,0.9999552496884575,8.315946616460284e-05,WFC3_G141
143,2457630.24655542,0.9999859031779641,8.557885787112432e-05,WFC3_G141
144,2457630.2488818998,1.0001652809560324,8.542390858669161e-05,WFC3_G141
145,2457630.25120838,0.9999957156996626,8.643312869972421e-05,WFC3_G141
146,2457630.2535346746,0.9997872387706076,8.514520082549832e-05,WFC3_G141
147,2457630.255860975,0.9998823923180393,8.621780190361868e-05,WFC3_G141
148,2457792.17945658,0.998504988372325,8.779426580099563e-05,WFC3_G141
149,2457792.181783065,1.000168730827261,8.853241342426954e-05,WFC3_G141
150,2457792.18410936,1.0003431683686,8.825501259313941e-05,WFC3_G141
151,2457792.18643584,1.0005955742767285,8.529425888209483e-05,WFC3_G141
152,2457792.188762135,1.000532256320239,8.749917864733333e-05,WFC3_G141
153,2457792.19108862,1.0004227906079952,8.427059378106883e-05,WFC3_G141
154,2457792.1934149154,0.9996420004222231,8.749110967135047e-05,WFC3_G141
155,2457792.195741395,1.0000629704456625,8.56634585925098e-05,WFC3_G141
156,2457792.198067695,0.9995990689354352,8.631630924469675e-05,WFC3_G141
157,2457792.200394175,1.0000468715736641,8.535703733751893e-05,WFC3_G141
158,2457792.20272047,0.9996255156888864,8.750633147789006e-05,WFC3_G141
159,2457792.20504695,1.0001048639620473,8.647892428839873e-05,WFC3_G141
160,2457792.2411349146,0.9983794391638245,8.484110953522984e-05,WFC3_G141
161,2457792.2434613947,0.999491327309904,8.693266247326831e-05,WFC3_G141
162,2457792.245787695,0.9999856461339145,8.648114107410368e-05,WFC3_G141
163,2457792.24811399,0.9996022864526753,8.642059418364347e-05,WFC3_G141
164,2457792.25044047,1.000194413869637,8.588889986120291e-05,WFC3_G141
165,2457792.25276695,1.0000693056510954,8.72013455922689e-05,WFC3_G141
166,2457792.25509325,0.9997906560111954,8.534452955705664e-05,WFC3_G141
167,2457792.257419545,0.9994128688149501,8.641147077551777e-05,WFC3_G141
168,2457792.2597460253,0.9992783786748247,8.741431140390678e-05,WFC3_G141
169,2457792.26207251,0.999440898566017,8.508820997892758e-05,WFC3_G141
170,2457792.264398805,1.000190106174795,8.603272747955917e-05,WFC3_G141
171,2457792.2667251,1.00040033304636,8.410819651885263e-05,WFC3_G141
172,2457792.2690515798,0.9996465839230063,8.508398973375769e-05,WFC3_G141
173,2457792.30737325,0.9875333748890012,8.602112170553746e-05,WFC3_G141
174,2457792.30969973,0.9858115866498759,8.716857880925954e-05,WFC3_G141
175,2457792.31202621,0.9832320310890645,8.43477292354857e-05,WFC3_G141
176,2457792.31435251,0.98131701988645,8.593252929378188e-05,WFC3_G141
177,2457792.3166788053,0.9800710344333454,8.560137417900321e-05,WFC3_G141
178,2457792.3190052854,0.9797882170786187,8.54628554374755e-05,WFC3_G141
179,2457792.3213317646,0.9794758724190186,8.546378047206186e-05,WFC3_G141
180,2457792.323658065,0.9785842091107142,8.409349757793736e-05,WFC3_G141
181,2457792.3259843597,0.9780679792097804,8.460472941246685e-05,WFC3_G141
182,2457792.32831084,0.9782043519470375,8.527446753224826e-05,WFC3_G141
183,2457792.3306373246,0.9779001963835801,8.736561121159454e-05,WFC3_G141
184,2457792.3329636203,0.9777966747445404,8.327799093937474e-05,WFC3_G141
185,2457792.335289915,0.977550911801261,8.27054448947445e-05,WFC3_G141
186,2457792.37362325,0.9762226669713064,8.56619807074115e-05,WFC3_G141
187,2457792.37594973,0.9770918754843755,8.407973704393289e-05,WFC3_G141
188,2457792.3782762103,0.9777001546840791,8.510406958050426e-05,WFC3_G141
189,2457792.3806025097,0.9782787810282589,8.691391504248654e-05,WFC3_G141
190,2457792.3829288054,0.9782776799534727,8.484476562396675e-05,WFC3_G141
191,2457792.3852552846,0.9784839933630685,8.531329999089066e-05,WFC3_G141
192,2457792.3875817647,0.9786731188171304,8.347930636945352e-05,WFC3_G141
193,2457792.389908065,0.9786899231385997,8.515010195981163e-05,WFC3_G141
194,2457792.39223436,0.9789763336790839,8.390842659241253e-05,WFC3_G141
195,2457792.39456084,0.9795824142204937,8.629209380928728e-05,WFC3_G141
196,2457792.3968873248,0.97953013496995,8.558971891561753e-05,WFC3_G141
197,2457792.39921362,0.9810067022944085,8.634926539696867e-05,WFC3_G141
198,2457792.4015401,0.9830199034645694,8.497627560960855e-05,WFC3_G141
199,2457792.439861765,0.9986778876530759,8.442572396516018e-05,WFC3_G141
